회차,날짜,시청률
1회,2024.4.18,2.49%
2회,2024.4.25,2.24%
3회,2024.5.2,2.09%
4회,2024.5.9,1.95%
5회,2024.5.16,1.91%
6회,2024.5.23,1.73%
7회,2024.5.30,1.54%
8회,2024.6.13,1.92%
9회,2024.6.20,1.44%
10회,2024.6.27,1.64%
11회,2024.7.4,1.72%
12회,2024.7.11,2.28%
13회,2024.7.18,1.83%
14회,2024.7.25,1.92%
15회,2024.8.1,2.39%
16회,2024.8.15,1.89%
17회,2024.8.22,1.52%
18회,2024.8.29,1.78%
