회차,날짜,시청률
1회,2024.1.29,1.35%
2회,2024.2.5,1.38%
3회,2024.2.12,1.16%
4회,2024.2.19,1.25%
5회,2024.4.15,0.93%
6회,2024.4.22,1.12%
7회,2024.4.29,1.30%
8회,2024.5.6,1.73%
9회,2024.5.13,1.41%
10회,2024.5.20,1.48%
11회,2024.5.27,1.76%
12회,2024.6.3,1.55%
13회,2024.6.10,1.51%
14회,2024.6.17,1.17%
15회,2024.6.24,1.83%
16회,2024.7.1,1.82%
17회,2024.7.8,1.83%
18회,2024.7.15,1.82%
19회,2024.7.22,2.01%
20회,2024.8.5,2.57%
21회,2024.8.12,2.09%
22회,2024.8.19,1.86%
23회,2024.8.26,2.02%
24회,2024.9.2,2.03%
