날짜,검색량
2023-01,30700
2023-02,24700
2023-03,21100
2023-04,21600
2023-05,23100
2023-06,22100
2023-07,25200
2023-08,22000
2023-09,21300
2023-10,19400
2023-11,17200
2023-12,19900
2024-01,21900
2024-02,21000
2024-03,20900
2024-04,19600
2024-05,20800
2024-06,25000
2024-07,28600
2024-08,29000
