날짜,검색량
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,340
2023-09,11000
2023-10,12100
2023-11,9790
2023-12,8400
2024-01,11200
2024-02,12100
2024-03,8400
2024-04,10100
2024-05,9550
2024-06,8420
2024-07,12100
2024-08,10700
