날짜,검색량
2023-01,43700
2023-02,21500
2023-03,25200
2023-04,18300
2023-05,35600
2023-06,24900
2023-07,27200
2023-08,16900
2023-09,14000
2023-10,13500
2023-11,15700
2023-12,24900
2024-01,11300
2024-02,11600
2024-03,15200
2024-04,19300
2024-05,11200
2024-06,15700
2024-07,10700
2024-08,11900
