날짜,검색량
2023-01,44000
2023-02,31000
2023-03,29000
2023-04,27500
2023-05,48500
2023-06,35200
2023-07,36700
2023-08,25100
2023-09,21300
2023-10,17700
2023-11,15500
2023-12,16000
2024-01,14900
2024-02,13900
2024-03,18600
2024-04,32900
2024-05,20200
2024-06,19700
2024-07,16900
2024-08,20500
