날짜,검색량
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,0
2023-09,0
2023-10,0
2023-11,0
2023-12,70
2024-01,24400
2024-02,94700
2024-03,54300
2024-04,44500
2024-05,91000
2024-06,93100
2024-07,116900
2024-08,133500
