날짜,검색량
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,100
2023-09,360
2023-10,5130
2023-11,40100
2023-12,33000
2024-01,27700
2024-02,22500
2024-03,8650
2024-04,5460
2024-05,4400
2024-06,20000
2024-07,31500
2024-08,22300
