날짜,검색량
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,0
2023-09,0
2023-10,0
2023-11,0
2023-12,0
2024-01,10
2024-02,90
2024-03,2070
2024-04,84900
2024-05,77900
2024-06,47100
2024-07,63500
2024-08,84700
