날짜,검색량
2023-01,91300
2023-02,65100
2023-03,101100
2023-04,134100
2023-05,124800
2023-06,74200
2023-07,70400
2023-08,142500
2023-09,178100
2023-10,83300
2023-11,93900
2023-12,103200
2024-01,163400
2024-02,160900
2024-03,128000
2024-04,125100
2024-05,120900
2024-06,122200
2024-07,123500
2024-08,80700
