프로그램명,장르,개인 전체,4-9세 남자,4-9세 여자,10대 남자,10대 여자,20대 남자,20대 여자,30대 남자,30대 여자,40대 남자,40대 여자,50대 남자,50대 여자,60세 이상 남자,60세 이상 여자
성적을부탁해티처스(본),오락,0.541 ,0.859 ,0.269 ,0.496 ,0.637 ,0.359 ,0.048 ,0.157 ,0.268 ,0.237 ,0.549 ,0.682 ,0.796 ,0.944 ,0.697 
성적을부탁해티처스(재),오락,0.307 ,0.188 ,0.088 ,0.167 ,0.170 ,0.160 ,0.148 ,0.154 ,0.144 ,0.288 ,0.372 ,0.299 ,0.379 ,0.490 ,0.505 
